CO2 EF,Flue CO Con,Load,Flue Gas / Fuel,Exhaust Temp,Design Steam Volume,Operating Pressure,Vaper / Fuel
2324.779599,0,99.2,142.0754497,159.7,50,33.8,9.841269841
2343.527822,0,99.2,141.0151852,159.7,50,33.8,9.841269841
2343.527822,0,99.2,141.0151852,159.7,50,33.8,9.841269841
2310.203954,0,92.6,142.2382979,159.8,50,32.8,8.955512573
2328.834631,0,92.6,141.1846809,159.8,50,32.8,8.955512573
2328.834631,0,92.6,141.1846809,159.8,50,32.8,8.955512573
2507.672643,0,105.2,162.5428606,153.7,50,32.5,9.443447038
2488.382853,0,105.2,165.8155356,153.7,50,32.5,9.443447038
2488.382853,0,105.2,165.8155356,153.7,50,32.5,9.443447038
1820.079741,0,0.84375,110.0785714,278,8,12.6,6.887755102
1870.637512,0,0.84375,111.5081633,278,8,12.6,6.887755102
1870.637512,0,0.84375,111.5081633,278,8,12.6,6.887755102
2065.247839,0,0.83875,129.182963,289,8,11.9,8.283950617
2190.414375,0,0.83875,132.7222222,289,8,11.9,8.283950617
2190.414375,0,0.83875,132.7222222,289,8,11.9,8.283950617
1977.715093,0,0.83875,123.5306667,283,8,11.9,8.3875
1948.196957,0,0.83875,120.192,283,8,11.9,8.3875
1948.196957,0,0.83875,120.192,283,8,11.9,8.3875
2678.912277,0,0.83875,166.65,282,8,11.8,8.3875
2649.146585,0,0.83875,164.9666667,282,8,11.8,8.3875
2649.146585,0,0.83875,164.9666667,282,8,11.8,8.3875
2027.792186,0,0.83875,130.8038333,242,8,12.3,8.3875
1996.107933,0,0.83875,130.8038333,242,8,12.3,8.3875
1996.107933,0,0.83875,130.8038333,242,8,12.3,8.3875
1993.020307,0.1,0.82875,127.5412658,217,8,12.1,8.392405063
1993.020307,0.1,0.82875,120.1260759,217,8,12.1,8.392405063
1993.020307,0.1,0.82875,120.1260759,217,8,12.1,8.392405063
2227.3507,0,0.8125,137.7719512,245,8,12,7.926829268
2227.3507,0,0.8125,137.7719512,245,8,12,7.926829268
2054.672669,0,0.8175,127.81725,245,8,12,8.175
1986.18358,0,0.8175,126.5261667,245,8,12,8.175
1986.18358,0,0.8175,126.5261667,245,8,12,8.175
1586.964273,0.1,0.83125,99.24993197,250,8,12,6.785714286
1586.964273,0.1,0.83125,99.24993197,250,8,12,6.785714286
1586.964273,0.1,0.83125,99.24993197,250,8,12,6.785714286
2069.921095,0,0.835,128.2676984,225,8,12,7.952380952
2047.900658,0,0.835,127.022381,225,8,12,7.952380952
2047.900658,0,0.835,127.022381,225,8,12,7.952380952
1925.002452,0,0.75,118.5411111,225,8,12,7.142857143
1925.002452,0,0.75,118.5411111,225,8,12,7.142857143
1925.002452,0,0.75,118.5411111,225,8,12,7.142857143
1533.23346,0,0.87625,96.11079365,255,8,12,8.345238095
