CO2_EF,Flue O2,Load,Flue_Gas/Fuel,Exhaust Temp,Operating Pressure,Vaper / Fuel
2534.812433,13.5,92.2,163.668179,148.8,33.9,8.714555766
2422.7505,15,94.04,152.237037,161.1,33.9,8.292768959
2384.294143,13.5,94.04,150.0622222,161.1,33.9,8.292768959
2384.294143,14.2,94.04,150.0622222,161.1,33.9,8.292768959
2659.692817,11.4,110,166.9940557,154.7,33.5,8.513931889
2659.692817,14.8,110,163.4409907,154.7,33.5,8.513931889
2659.692817,14,110,163.4409907,154.7,33.5,8.513931889
2324.779599,7,99.2,142.0754497,159.7,33.8,9.841269841
2343.527822,14.4,99.2,141.0151852,159.7,33.8,9.841269841
2343.527822,15.5,99.2,141.0151852,159.7,33.8,9.841269841
2310.203954,5.7,92.6,142.2382979,159.8,32.8,8.955512573
2328.834631,12.2,92.6,141.1846809,159.8,32.8,8.955512573
2328.834631,14.2,92.6,141.1846809,159.8,32.8,8.955512573
2507.672643,14.8,105.2,162.5428606,153.7,32.5,9.443447038
2488.382853,13.8,105.2,165.8155356,153.7,32.5,9.443447038
2488.382853,12.6,105.2,165.8155356,153.7,32.5,9.443447038
1820.079741,12.7,0.84375,110.0785714,278,12.6,6.887755102
1870.637512,14.9,0.84375,111.5081633,278,12.6,6.887755102
1870.637512,13.6,0.84375,111.5081633,278,12.6,6.887755102
2065.247839,7.3,0.83875,129.182963,289,11.9,8.283950617
2190.414375,7.8,0.83875,132.7222222,289,11.9,8.283950617
2190.414375,13.7,0.83875,132.7222222,289,11.9,8.283950617
1977.715093,4.7,0.83875,123.5306667,283,11.9,8.3875
1948.196957,8.1,0.83875,120.192,283,11.9,8.3875
1948.196957,14.7,0.83875,120.192,283,11.9,8.3875
2678.912277,12.1,0.83875,166.65,282,11.8,8.3875
2649.146585,10.6,0.83875,164.9666667,282,11.8,8.3875
2649.146585,13.4,0.83875,164.9666667,282,11.8,8.3875
2027.792186,13.3,0.83875,130.8038333,242,12.3,8.3875
1996.107933,6.2,0.83875,130.8038333,242,12.3,8.3875
1996.107933,11.2,0.83875,130.8038333,242,12.3,8.3875
1993.020307,12.3,0.82875,127.5412658,217,12.1,8.392405063
1993.020307,13.8,0.82875,120.1260759,217,12.1,8.392405063
1993.020307,13.8,0.82875,120.1260759,217,12.1,8.392405063
2227.3507,10.8,0.8125,137.7719512,245,12,7.926829268
2227.3507,15.8,0.8125,137.7719512,245,12,7.926829268
2054.672669,11.4,0.8175,127.81725,245,12,8.175
1986.18358,6.6,0.8175,126.5261667,245,12,8.175
1986.18358,6.6,0.8175,126.5261667,245,12,8.175
1586.964273,7.8,0.83125,99.24993197,250,12,6.785714286
1586.964273,11.6,0.83125,99.24993197,250,12,6.785714286
1586.964273,10.3,0.83125,99.24993197,250,12,6.785714286
2069.921095,13.5,0.835,128.2676984,225,12,7.952380952
2047.900658,13.8,0.835,127.022381,225,12,7.952380952
2047.900658,14.1,0.835,127.022381,225,12,7.952380952
1925.002452,14.7,0.75,118.5411111,225,12,7.142857143
1925.002452,15,0.75,118.5411111,225,12,7.142857143
1925.002452,12.8,0.75,118.5411111,225,12,7.142857143
1533.23346,12.9,0.87625,96.11079365,255,12,8.345238095
1533.23346,14.1,0.87625,95.06611111,255,12,8.345238095
1533.23346,8,0.87625,95.06611111,255,12,8.345238095
1240.647303,7.8,95.85,78.79741667,150,5.2,7.9875
1278.821066,14.7,95.85,77.718,150,5.2,7.9875
1278.821066,14.9,95.85,77.718,150,5.2,7.9875
1061.355718,14.9,62.3,66.57056604,100,5.5,7.836477987
1119.247848,6.1,62.3,68.75320755,100,5.5,7.836477987
1119.247848,13.2,62.3,68.75320755,100,5.5,7.836477987
1047.347131,6.5,62.5,67.84575,108,5.6,7.8125
1104.475156,6.5,62.5,69.99958333,108,5.6,7.8125
1104.475156,8.6,62.5,69.99958333,108,5.6,7.8125
1070.201878,11.4,64,68.22583333,106,5.2,8
1089.660094,10.5,64,69.32625,106,5.2,8
1089.660094,13.8,64,69.32625,106,5.2,8
1109.427755,13.6,62.5,69.7125,106,5.6,7.8125
1109.427755,10.5,62.5,69.7125,106,5.6,7.8125
1109.427755,11.9,62.5,69.7125,106,5.6,7.8125
1087.77022,14.9,61.45,68.22734177,108,5.4,7.778481013
1166.880782,11.6,61.45,70.4643038,108,5.4,7.778481013
1166.880782,12.1,61.45,70.4643038,108,5.4,7.778481013
1218.091448,13.8,57.7,76.92324324,108,5.7,7.797297297
1218.091448,11.2,57.7,78.07135135,108,5.7,7.797297297
1218.091448,11.2,57.7,78.07135135,108,5.7,7.797297297
1196.891457,14.1,57.7,77.02378378,107,5.4,7.797297297
1176.255397,14,57.7,77.02378378,107,5.4,7.797297297
1176.255397,13.8,57.7,77.02378378,107,5.4,7.797297297
1219.400788,11.2,58.55,78.97093333,105,5.7,7.806666667
1160.397524,10.8,58.55,75.63413333,105,5.7,7.806666667
1160.397524,13.8,58.55,75.63413333,105,5.7,7.806666667
1186.941127,13.7,56.65,78.74261072,115,5.4,7.923076923
1164.115336,13.8,56.65,80.03347319,115,5.4,7.923076923
1164.115336,13.5,56.65,80.03347319,115,5.4,7.923076923
1238.205632,14.1,63.55,80.23583333,106,5.6,7.94375
1264.001583,14.8,63.55,80.23583333,106,5.6,7.94375
1264.001583,12.7,63.55,80.23583333,106,5.6,7.94375
1683.666454,11.2,53.95,107.5588808,123,6,7.875912409
1777.203479,12.8,53.95,105.7956204,123,6,7.875912409
1777.203479,8.3,53.95,105.7956204,123,6,7.875912409
1198.498698,12.9,0.967,76.25076923,80,5.2,7.438461538
1162.895706,10.8,0.979,74.34305764,82,5.5,7.360902256
1274.702496,14.5,0.908,81.49078261,80,5.3,7.895652174
1119.233061,13.8,81.13333333,76.13838703,100,13,7.687934302
1184.116137,13.3,81.13333333,80.72503685,100,13,7.687934302
1184.116137,10.3,81.13333333,80.72503685,100,13,7.687934302
1580.507381,14.2,85.35333333,95.63887223,110,9,7.680263947
1169.575462,15.5,85.35333333,95.63887223,110,9,7.680263947
1169.575462,11.6,85.35333333,95.63887223,110,9,7.680263947
1279.179936,16.1,80.28,78.59292142,126,12,7.223755249
1294.972281,14,80.28,77.69982004,126,12,7.223755249
1294.972281,15.9,80.28,77.69982004,126,12,7.223755249
1301.3757,12.3,80.83333333,78.85333333,130,10,8.083333333
1245.602456,11.4,80.83333333,78.85333333,130,10,8.083333333
1245.602456,17.4,80.83333333,78.85333333,130,10,8.083333333
1731.026469,13.8,81.13333333,103.3329778,130,10,8.113333333
1755.068503,15.7,81.13333333,95.17511111,130,10,8.113333333
1755.068503,12.9,81.13333333,95.17511111,130,10,8.113333333
1607.927355,15,81.13333333,98.84,130,10,8.113333333
1561.320765,14.9,81.13333333,100.1578667,130,10,8.113333333
1561.320765,10.8,81.13333333,100.1578667,130,10,8.113333333
1372.122561,16,81.13333333,83.97524444,130,10,8.113333333
1315.733963,13.8,81.13333333,44.64506667,130,10,8.113333333
1315.733963,16.1,81.13333333,44.64506667,130,10,8.113333333
1198.835544,11.2,81.13333333,75.77368889,130,10,8.113333333
1163.575675,14.8,81.13333333,76.77071111,130,10,8.113333333
1163.575675,13.7,81.13333333,76.77071111,130,10,8.113333333
1135.473718,13.7,80,70.14168889,130,6.9,8
1135.473718,11.9,80,64.21422222,130,6.9,8
1135.473718,14.5,80,64.21422222,130,6.9,8
